id,area,source,references,required_scope,enforcement,object,test_id,disposition,note
RS-011,Generation input content,generation_run_inputs.content_id,generation_runs + content_objects,rendered input content owner = generation resident,SQLite trigger,trg_generation_run_inputs_resident_scope,RS-GEN-INPUT-CONTENT,DDL v0.1.2,
RS-012,Generation input provenance,generation_run_inputs.source_type/source_id,event/claim/revision and future source types,source entity resident = generation resident,Context Assembler + Canonical Writer,source_type-specific scope validator,RS-GEN-INPUT-SOURCE,Runtime,polymorphic reference; no physical FK by design
RS-013,Generation outcome,generation_run_outcomes output/error content,generation_runs + content_objects,output/error content owner = generation resident,SQLite trigger,trg_generation_run_outcomes_resident_scope,RS-GEN-OUTCOME,DDL v0.1.2,
RS-014,Event ledger,events content/generation run,"content_objects, generation_runs",content owner and generation run resident = event resident,SQLite trigger,trg_events_resident_scope,RS-EVENT,DDL v0.1.2,actor/target principals are governed separately
RS-015,Claim envelope,claims statement/run,"content_objects, generation_runs",statement content owner and creator run resident = claim owner resident,SQLite trigger,trg_claims_resident_scope,RS-CLAIM,DDL v0.1.2,subject/perspective principals are intentionally allowed to differ
RS-016,Evidence,claim_evidence claim/event/source/policy/run/reason,"claims, events, evidence, revisions, runs, content",all resident-scoped provenance = claim owner resident,SQLite trigger,trg_claim_evidence_resident_scope,RS-EVIDENCE,DDL v0.1.2,direct event reference remains NOT NULL
RS-017,Stage transition,claim_stage_transitions policy/run/reason,"claims, revisions, runs, content",all resident-scoped references = target claim owner,SQLite trigger,trg_claim_stage_transitions_resident_scope,RS-STAGE,DDL v0.1.2,
RS-018,Stage dependency,claim_stage_transition_dependencies,target transition claim + dependency claim,dependency claim owner = target claim owner,SQLite trigger,trg_claim_stage_dependency_resident_scope,RS-STAGE-DEPENDENCY,DDL v0.1.2,
RS-019,Claim relation,claim_relations endpoints/run/reason,"claims, generation_runs, content_objects","both claims, optional run and reason content share resident",SQLite trigger,trg_claim_relations_resident_scope,RS-RELATION,DDL v0.1.2,
RS-020,Integrity finding,integrity_findings claim/erasure/details,"claims, erasure events, content_objects",all referenced resident-scoped entities = finding.resident_id,SQLite trigger,trg_integrity_findings_resident_scope,RS-INTEGRITY,DDL v0.1.2,claim_id remains nullable for global-to-resident structural findings
RS-021,Status transition,claim_status_transitions typed triggers/policy/reason,events/evidence/relation/finding/revision/content,all resident-scoped trigger and policy material = target claim owner,SQLite trigger + Writer,trg_claim_status_transitions_resident_scope + semantic validator,RS-STATUS,DDL v0.1.2 + Runtime,I-87 exact claim match and automatic semantics remain Writer checks
RS-022,Validity assertion,claim_validity_assertions event/reason,"claims, events, content_objects",evidence event and reason content = claim owner resident,SQLite trigger,trg_claim_validity_assertions_resident_scope,RS-VALIDITY,DDL v0.1.2,actor principal may be external
RS-023,View-scope assertion,claim_view_scope_assertions run/policy/reason,"claims, generation_runs, revisions, content",resident-scoped provenance = claim owner resident,SQLite trigger,trg_claim_view_scope_assertions_resident_scope,RS-VIEW-SCOPE,DDL v0.1.2,actor principal may be external
RS-024,Claim usage,claim_usages recall/run/detected/policy,"claims, recall_runs, generation_runs, revisions",all execution provenance = claim owner resident,SQLite trigger,trg_claim_usages_resident_scope,RS-USAGE,DDL v0.1.2,
RS-025,Projection,resident_current_revision,revision/activation logical IDs,revision and activation resident/class = projection resident/class,Projection Coordinator,projection rebuild validator,RS-P-REVISION,Runtime,no Canonical FK to preserve future DB separation
RS-026,Projection,resident_current_status,source_transition_id,transition resident = projection resident,Projection Coordinator,projection rebuild validator,RS-P-STATUS,Runtime,
RS-027,Projection,claim_states,claim_id + resident_id,claim owner = projection resident,Projection Coordinator,projection rebuild validator,RS-P-CLAIM,Runtime,
RS-028,Projection,claim_view_scope_current,claim/assertion IDs,claim and assertion resident = projection resident,Projection Coordinator,projection rebuild validator,RS-P-VIEW,Runtime,
RS-029,Projection,runtime_states,resident_id/event seq cursors,resident exists and seqs belong to resident ledger,Projection Coordinator,runtime-state evaluator,RS-P-RUNTIME,Runtime,
RS-030,Projection,content_references,content/referrer/dedupe scope,"content owner, logical referrer and dedupe scope = row resident",Projection Coordinator,content-reference builder,RS-P-CONTENT-REF,Runtime,polymorphic referrer; stale projection must never drive unsafe GC
RS-031,Projection metadata,projection_watermark_dependencies memory_policy,resident revision logical reference,memory policy revision belongs to watermark resident,Projection Coordinator,dependency resolver,RS-P-DEPENDENCY,Runtime,sessionization_policy dependency is global by design
RS-032,Operational,analytics/search outbox resident_id + source_commit_seq,canonical_commits,resident_id must match commit scope when non-null,Outbox producer,outbox scope validator,RS-OUTBOX,Runtime,global commit/outbox may use resident_id NULL
RS-033,Operational,runtime_config.active_resident_id,residents,selected resident exists; desired policy exists globally,Runtime Coordinator,config resolver,RS-CONFIG,Runtime,configuration is Operational and may live in separate store
RS-034,Allowed cross-scope,claims.subject_principal_id / perspective_principal_id,principals,may intentionally differ from owner resident,Allowed by design,none,RS-ALLOW-CLAIM-PRINCIPAL,allowed,"principal relation is the claim meaning, not a live claim/evidence reference"
RS-035,Allowed cross-scope,events.actor_principal_id / target_principal_id,principals,human/resident participants may differ from event resident identity,Allowed with event-type rules,Writer event actor/type validator,RS-ALLOW-EVENT-PRINCIPAL,allowed,multi-user future remains possible
RS-036,Allowed cross-scope,approval/activation/status/erasure actor principals,principals,owner human/system actor may differ from resident principal,Permission layer,authorization validator,RS-ALLOW-ACTOR,allowed,
RS-037,Allowed cross-scope,residents.parent_resident_id,residents,parent and child are different residents by definition,Deferred Branch Copy Spec,branch validator,RS-ALLOW-PARENT,deferred,live references after branch remain prohibited
RS-038,Global reference,pipeline/sessionization policy versions,global Canonical definitions,no resident equality required,Allowed by design,version resolver,RS-GLOBAL-POLICY,allowed,policy usage version is recorded separately
