id,source,section,rule,primary,secondary,object,test_id,test_level,test,status,phase,note
I-11,mahoroba_datamodel_v0.2.14.md,13.2 claim・evidence,すべてのstatus変化は`claim_status_transitions`を伴う,Canonical Writer,SQLite append-only,claim_status_transitions,INV-I-11,writer integration,status changeは必ずtransition行を伴う,RUNTIME-SPEC,Runtime-5,
I-12,mahoroba_datamodel_v0.2.14.md,13.2 claim・evidence,settledへの遷移はmemory policyが適格とするsupport evidenceを必要とする,Canonical Writer,—,settled gate evaluator,INV-I-12,writer negative,support evidenceなしsettledを拒否する,RUNTIME-SPEC,Runtime-5,
I-13,mahoroba_datamodel_v0.2.14.md,13.2 claim・evidence,非信頼evidenceのみで構成されるclaimはsettledに到達しない,Canonical Writer,—,trust gate,INV-I-13,writer negative,untrusted evidenceのみのsettledを拒否する,RUNTIME-SPEC,Runtime-5,初期ingressではuntrusted生成なし
I-14,mahoroba_datamodel_v0.2.14.md,13.2 claim・evidence,residentをまたぐclaim / evidenceの生きた参照を行わない,SQLite DDL (21 verified triggers) + Canonical Writer,—,Resident-Scope Inventory v0.1 + source_type-specific scope validator,INV-I-14,SQL negative + writer negative,cross-resident evidence/relation/dependency/inputを拒否する,PLANNED-RUNTIME,SQL-2/Runtime-3,DDL-scoped references verified; polymorphic generation input and Projection/Operational scope remain Runtime
I-15,mahoroba_datamodel_v0.2.14.md,13.2 claim・evidence,Recall / claim usage自体をevidenceにしない,Canonical Writer,—,memory extraction validator,INV-I-15,writer negative,claim_usage/recallだけをevidence sourceとして扱わない,RUNTIME-SPEC,Runtime-5,
I-16,mahoroba_datamodel_v0.2.14.md,13.2 claim・evidence,policy依存判断は使用したmemory policy revisionを記録する,Canonical Writer,SQLite NOT NULL where applicable,memory_policy_revision_id,INV-I-16,writer negative,policy依存判断でpolicy revision欠落を拒否する,SPECIFIED,Runtime-5,
I-17,mahoroba_datamodel_v0.2.14.md,13.3 revision・resident,revisionは`principles / persona / memory_policy`のclassを持つ,SQLite DDL,Canonical Writer,resident_revisions.revision_class CHECK,INV-I-17,SQL negative,未知revision_classを拒否する,DDL-IMPLEMENTED,SQL-2,
I-18,mahoroba_datamodel_v0.2.14.md,13.3 revision・resident,principles activationはhuman principalのapprovalを必要とする,Canonical Writer / Permission,SQLite FK,approval + activation UoW,INV-I-18,permission integration,human approvalなしprinciples activationを拒否する,RUNTIME-SPEC,Runtime-2,
I-19,mahoroba_datamodel_v0.2.14.md,13.3 revision・resident,Runtime / resident自身はprinciplesを自動活性化しない,Permission / Canonical Writer,—,activation command authorization,INV-I-19,permission negative,system/resident actorによるprinciples自動activationを拒否する,RUNTIME-SPEC,Runtime-2,
I-20,mahoroba_datamodel_v0.2.14.md,13.3 revision・resident,personaの小さなrevisionは自動活性化可能,Persona Revision Runtime,Canonical Writer,persona activation flow,INV-I-20,integration,許可policy内の小revisionを自動activationできる,RUNTIME-SPEC,Runtime-5,
I-21,mahoroba_datamodel_v0.2.14.md,13.3 revision・resident,memory policyは管理操作によって明示的に変更する,Admin / Permission,Canonical Writer,memory policy command,INV-I-21,permission negative,resident自身の暗黙memory policy変更を拒否する,RUNTIME-SPEC,Runtime-2,
I-22,mahoroba_datamodel_v0.2.14.md,13.3 revision・resident,resident lifecycleは追記型transitionで表現する,SQLite DDL,Canonical Writer,resident_status_transitions append-only,INV-I-22,SQL negative + replay,resident status direct updateを許さずtransition replayで決める,DDL-IMPLEMENTED,SQL-2,
I-23,mahoroba_datamodel_v0.2.14.md,13.3 revision・resident,draft residentはgeneration runを開始できない,Canonical Writer,—,PrepareGeneration validation,INV-I-23,writer negative,draft residentでgeneration run開始を拒否する,RUNTIME-SPEC,Runtime-2/3,
I-24,mahoroba_datamodel_v0.2.14.md,13.4 Projection,ProjectionはCanonicalから破棄・再構築できる,Projection Coordinator,CI,rebuild command,INV-I-24,projection golden,Projectionを削除しfull rebuild後に期待状態と一致する,RUNTIME-SPEC,Runtime-4,
I-25,mahoroba_datamodel_v0.2.14.md,13.4 Projection,Projectionは`Canonical + projection_version + expected versioned dependency set + explicit as_of`が同じなら決定的である,Projection Coordinator,Golden tests,projection evaluator,INV-I-25,property/golden,同じCanonical/version/deps/as_ofで同一出力になる,RUNTIME-SPEC,Runtime-4,
I-26,mahoroba_datamodel_v0.2.14.md,13.4 Projection,CanonicalからProjectionを参照しない,Schema / Architecture review,CI schema audit,FK direction audit,INV-I-26,schema audit,Canonical tableから[P]/[O]へのFKが0件である,SPECIFIED,SQL-2,
I-27,mahoroba_datamodel_v0.2.14.md,13.4 Projection,Projection更新失敗はCanonical commitを無効にしない,Runtime Coordinator,—,post-commit projection notification,INV-I-27,failure integration,Projection失敗後もCanonical commitが残る,RUNTIME-SPEC,Runtime-4,
I-28,mahoroba_datamodel_v0.2.14.md,13.5 Context Assembly,Activity Session全量を暗黙の既定入力として常時投入しない,Context Assembler,—,live context selector,INV-I-28,context unit,Activity Session全量ではなくtarget/maxだけ選択する,RUNTIME-SPEC,Runtime-3,
I-29,mahoroba_datamodel_v0.2.14.md,13.5 Context Assembly,すべてのgeneration inputは`source_type / inclusion_mode`を持つ,SQLite DDL,Context Assembler,generation_run_inputs CHECK,INV-I-29,SQL negative + context unit,source_type/inclusion_mode不正値を拒否する,DDL-IMPLEMENTED,SQL-2/Runtime-3,
I-30,mahoroba_datamodel_v0.2.14.md,13.5 Context Assembly,最終入力集合と順序を`generation_run_inputs`へ完全記録する,Context Assembler + Canonical Writer,SQLite UNIQUE,"generation_run_inputs(run, ordinal)",INV-I-30,integration,実際の入力全件・順序を保存し欠落を検知する,SPECIFIED,Runtime-3,
I-31,mahoroba_datamodel_v0.2.14.md,13.5 Context Assembly,Live Context / Backfillへのevent包含はclaim usageを生成しない,Context Assembler,Canonical Writer,claim_usages policy,INV-I-31,context negative,live/backfill event包含でclaim usageを作らない,RUNTIME-SPEC,Runtime-3,
I-32,mahoroba_datamodel_v0.2.14.md,13.5 Context Assembly,入力包含それ自体はevidence・confidence・stageを変えない,Canonical Writer,—,claim/evidence mutation API,INV-I-32,writer negative,単なるinput inclusionでevidence/stage/confidenceを変えない,RUNTIME-SPEC,Runtime-3/5,
I-33,mahoroba_datamodel_v0.2.14.md,13.5 Context Assembly,Live Contextから外れたeventを削除・忘却扱いしない,Context Assembler / Store,—,event retention behavior,INV-I-33,integration,live contextから外してもevent行/content参照を削除しない,RUNTIME-SPEC,Runtime-3,
I-34,mahoroba_datamodel_v0.2.14.md,13.5 Context Assembly,self-talkを対話生成のLive Contextへ自動投入しない,Context Assembler,—,self_talk exclusion rule,INV-I-34,context negative,self_talkをdialogue live contextへ自動投入しない,RUNTIME-SPEC,Runtime-3,
I-35,mahoroba_datamodel_v0.2.14.md,13.5 Context Assembly,memory_recallで実入力になったclaimは`prompt_included` usageと整合する,Canonical Writer / Context Assembler,Writer scope validator,claim_usages + generation_run_inputs,INV-I-35,integration,memory_recall inputとprompt_included usageを1対1整合させ、越境sourceを拒否,RUNTIME-SPEC,Runtime-3,
I-36,mahoroba_datamodel_v0.2.14.md,13.5 Context Assembly,Active ThreadはCanonicalではなくRuntime Projectionである,Projection Coordinator,Schema audit,runtime_states [P],INV-I-36,schema + projection test,Active Threadを[C]へ保存せず再構築可能にする,SPECIFIED,Runtime-4,
I-37,mahoroba_datamodel_v0.2.14.md,13.5 Context Assembly,Live Contextは原則として現在のActivity Session内のeventから構成する,Context Assembler,—,activity session selector,INV-I-37,context unit,live contextの通常選択が現Activity Session内に収まる,RUNTIME-SPEC,Runtime-3,
I-38,mahoroba_datamodel_v0.2.14.md,13.6 新規整合性・自己強化制限,claim、初期evidence、初期`NULL→floating` transitionを同一transactionでcommitする,Canonical Writer,—,CreateClaim transaction,INV-I-38,integration/crash,claim+evidence+initial stageを一括commitし部分状態を残さない,RUNTIME-SPEC,Runtime-5,
I-39,mahoroba_datamodel_v0.2.14.md,13.6 新規整合性・自己強化制限,`resident_message / outbound_initiative`をclaim evidence sourceにしない,Canonical Writer,—,evidence source validator,INV-I-39,writer negative,resident_message/outbound_initiative eventをevidenceに拒否する,RUNTIME-SPEC,Runtime-5,
I-40,mahoroba_datamodel_v0.2.14.md,13.6 新規整合性・自己強化制限,settledには、非self_talk source eventを直接参照するsupport evidence、またはmemory policyが定義する外部整合条件のいずれかを必要とする。後者の依存先claimは、それ自体が外部由来support evidenceを持たなければならない,Canonical Writer,—,settled gate evaluator,INV-I-40,writer negative,external evidence/alignment未充足claimのsettledを拒否する,RUNTIME-SPEC,Runtime-5,
I-41,mahoroba_datamodel_v0.2.14.md,13.6 新規整合性・自己強化制限,direct claimのsettledはactiveなmeta claimとの整合を必要とし、そのmeta claimはperspective本人の`user_message`を直接参照するsupport evidenceを持つ,Canonical Writer,Index support,direct/meta alignment evaluator,INV-I-41,writer negative,外部supportを持たないmeta alignmentでdirect settledを拒否する,RUNTIME-SPEC,Runtime-5,
I-42,mahoroba_datamodel_v0.2.14.md,13.6 新規整合性・自己強化制限,"`kind in {other, NULL}`のsettledは、event_type=user_messageかつactor=subjectの直接source eventを持つsupport evidenceを必要とする",Canonical Writer,—,other/null gate,INV-I-42,writer negative,actor≠subject又は非user_message sourceでsettledを拒否する,RUNTIME-SPEC,Runtime-5,
I-43,mahoroba_datamodel_v0.2.14.md,13.6 新規整合性・自己強化制限,generation runは不変とし、結果をoutcomeへ追記する,SQLite DDL,Generation Runtime,append-only triggers on runs/outcomes,INV-I-43,SQL negative,run UPDATEを拒否しoutcome追加だけ許可する,DDL-IMPLEMENTED,SQL-2/Runtime-3,
I-44,mahoroba_datamodel_v0.2.14.md,13.6 新規整合性・自己強化制限,event生成purposeの成功runは、ちょうど一件のeventを生成する,SQLite DDL + Canonical Writer,—,events.generation_run_id UNIQUE,INV-I-44,SQL negative + integration,event-purpose success runから2件目eventを拒否する,DDL-IMPLEMENTED,SQL-2/Runtime-3,
I-45,mahoroba_datamodel_v0.2.14.md,13.6 新規整合性・自己強化制限,generation inputsと`prompt_included` usageを外部呼び出し前にcommitする,Runtime Coordinator,Canonical Writer,PrepareGeneration UoW,INV-I-45,provider-spy integration,provider呼出し前にinputs/usage commit済みである,RUNTIME-SPEC,Runtime-3,
I-46,mahoroba_datamodel_v0.2.14.md,13.6 新規整合性・自己強化制限,resident分岐はquiescent stateでのみ実行する,Runtime Coordinator,—,quiescent checker,INV-I-46,integration,pending/running/retry workがあるresidentのbranchを拒否する,DEFERRED,deferred branch,
I-47,mahoroba_datamodel_v0.2.14.md,13.6 新規整合性・自己強化制限,claim usageは、そのusage記録時点で有効なmemory policy revisionを持つ,Canonical Writer,SQLite FK/NOT NULL,claim_usages.memory_policy_revision_id,INV-I-47,writer negative,usage記録時policy revision欠落を拒否する,SPECIFIED,Runtime-3/5,
I-48,mahoroba_datamodel_v0.2.14.md,13.6 新規整合性・自己強化制限,Canonicalな時刻判断はinstantとtimezoneの組を失わない,SQLite DDL + Canonical Writer,—,instant/timezone paired columns,INV-I-48,SQL negative + writer unit,時刻とtimezoneの片側欠落を拒否する,DDL-IMPLEMENTED,SQL-2,
I-49,mahoroba_datamodel_v0.2.14.md,13.7 claim status decision,automatic status transitionは許可されたreason classに限定する,SQLite DDL + Canonical Writer,—,claim_status_transitions reason CHECK,INV-I-49,SQL negative,未許可automatic reasonを拒否する,DDL-IMPLEMENTED,SQL-2/Runtime-5,
I-50,mahoroba_datamodel_v0.2.14.md,13.7 claim status decision,automatic decisionはtrigger、pipeline、gate metricsを必須で持ち、memory policy依存時だけ使用したmemory policy revisionを必須で持つ,SQLite DDL + Canonical Writer,—,decision/trigger CHECK,INV-I-50,SQL negative + writer negative,automaticでtrigger/pipeline/gate欠落を拒否する,DDL-IMPLEMENTED,SQL-2/Runtime-5,
I-51,mahoroba_datamodel_v0.2.14.md,13.7 claim status decision,human decisionはactor principalを持つ,SQLite DDL,Canonical Writer,human actor CHECK/FK,INV-I-51,SQL negative,human decisionのactor NULLを拒否する,DDL-IMPLEMENTED,SQL-2,
I-52,mahoroba_datamodel_v0.2.14.md,13.7 claim status decision,quarantinedからactiveへの復帰はhuman decisionのみ許可する,SQLite DDL + Canonical Writer,—,status transition checks,INV-I-52,SQL negative,automatic quarantined→activeを拒否する,DDL-IMPLEMENTED,SQL-2/Runtime-5,
I-53,mahoroba_datamodel_v0.2.14.md,13.7 claim status decision,生成由来eventは、同一Canonical Commitに所属するsucceeded outcomeとともに着地する,Canonical Writer,SQLite FKs,Success Landing UoW,INV-I-53,crash/integration,succeeded outcomeとeventが同一commitでのみ成立する,RUNTIME-SPEC,Runtime-3,
I-54,mahoroba_datamodel_v0.2.14.md,13.8 ID・Serialization・Activity Session,Canonical entity IDはuppercase ULIDで保存し、zero ULIDを未設定値に使わない,SQLite DDL,Go strict parser,ULID CHECK,INV-I-54,SQL negative + property,lowercase/zero/不正alphabet/overflowを拒否する,DDL-IMPLEMENTED,SQL-2,
I-55,mahoroba_datamodel_v0.2.14.md,13.8 ID・Serialization・Activity Session,ULID timestampをCanonical順序・意味時間の根拠にしない,Architecture / Code review,—,ID API,INV-I-55,unit/static,ID timestampを順序・意味時間へ使うコードを禁止する,SPECIFIED,Runtime-1,
I-56,mahoroba_datamodel_v0.2.14.md,13.8 ID・Serialization・Activity Session,Canonical JSONはrecord作成時のcanonicalization versionで再serialization可能であり、Canonical論理整数は厳密なdecimal string mappingを使う,Serialization library,Golden vectors,mahoroba-jcs-v1,INV-I-56,golden/property,整数decimal mappingとJCS期待bytesが一致する,SPECIFIED,Runtime-1,
I-57,mahoroba_datamodel_v0.2.14.md,13.8 ID・Serialization・Activity Session,event hashは物理DB rowではなくCanonical event envelope bytesから計算する,Canonical Writer,SQLite DDL (verified uniqueness defense),event hash function + uq_events_event_hash,INV-I-57,golden + SQL negative,期待hashを生成し同一hash二重挿入を拒否する,RUNTIME-SPEC,SQL-2/Runtime-1,Event Hash computation remains Writer/golden-test responsibility; uq_events_event_hash verified in DDL v0.1.2
I-58,mahoroba_datamodel_v0.2.14.md,13.8 ID・Serialization・Activity Session,content commitmentはcontentごとのsaltを用い、消去時にsaltを破棄してcommitmentを保持する,Content service,SQLite DDL,commitment algorithm,INV-I-58,golden + erasure integration,salted commitmentが一致し消去後saltのみ失われる,SPECIFIED,Runtime-1/7,
I-59,mahoroba_datamodel_v0.2.14.md,13.8 ID・Serialization・Activity Session,content erasure auditへcommitment saltやunsalted blob hashを複製して残さない,Schema / Erasure Coordinator,CI schema audit,erasure audit columns,INV-I-59,schema + integration,audit/backup/logにsalt/unsalted hashが残らない,SPECIFIED,SQL-2/Runtime-7,
I-60,mahoroba_datamodel_v0.2.14.md,13.8 ID・Serialization・Activity Session,Activity SessionはCanonical entityではなく、user_message列・resident lifecycle・Canonical Sessionization Policy・as_ofから再構築する,Projection Coordinator,Sessionization Policy,activity session evaluator,INV-I-60,projection golden,events+lifecycle+policy+as_ofから決定的に再構築する,RUNTIME-SPEC,Runtime-4,
I-61,mahoroba_datamodel_v0.2.14.md,13.8 ID・Serialization・Activity Session,`resident_message / self_talk / outbound_initiative`はActivity Sessionを開始・延長しない,Sessionization evaluator,—,event type filter,INV-I-61,projection unit,resident/self-talk/initiativeだけではsession境界を延長しない,RUNTIME-SPEC,Runtime-4,
I-62,mahoroba_datamodel_v0.2.14.md,13.8 ID・Serialization・Activity Session,Activity Session close event・Canonical ID・event参照を持たない,Schema / Projection,—,no session canonical entity,INV-I-62,schema audit,session close/id/event referenceが[C]に存在しない,SPECIFIED,SQL-2,
I-63,mahoroba_datamodel_v0.2.14.md,13.8 ID・Serialization・Activity Session,初期Canonical eventはConversationの存在を要求しない,Schema / Context,—,events without conversation FK,INV-I-63,schema audit + dialogue integration,Conversationなしで初期eventを記録できる,SPECIFIED,SQL-2/Runtime-3,
I-64,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,`canonical_commits`自身を除くすべての[C] rowは`canonical_commit_id NOT NULL`で所属Canonical Commitを持つ,SQLite DDL,Canonical Writer,all [C] rows canonical_commit_id NOT NULL FK,INV-I-64,schema + SQL negative,commit_id NULL/不存在の[C] rowを拒否する,DDL-IMPLEMENTED,SQL-2,
I-65,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,1 Canonical Unit of Workで追加される[C] rowは同一Canonical Commitへ所属する,Canonical Writer,—,UoW command validator,INV-I-65,integration,同一UoWの[C] rowが全て同一commit_idを持つ,RUNTIME-SPEC,Runtime-1,
I-66,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,`commit_seq`はstore全体で単調増加・再利用なし・欠番可であり、resident意味順序へ使わない,SQLite DDL + Canonical Writer,—,canonical_commits.commit_seq UNIQUE/CHECK,INV-I-66,SQL negative + property,重複/非正commit_seqを拒否しwriter採番が単調,DDL-IMPLEMENTED,SQL-2/Runtime-1,
I-67,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,automatic status transitionはtyped direct Canonical triggerをちょうど一件持つ,SQLite DDL,Canonical Writer,typed trigger nullable CHECK,INV-I-67,SQL negative,automaticでtrigger 0件/複数件を拒否する,DDL-IMPLEMENTED,SQL-2,
I-68,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,`explicit_supersession / explicit_correction / structural_quarantine`は固定されたtrigger kindと遷移先以外をautomaticで許可しない,SQLite DDL + Canonical Writer,—,reason→trigger/status CHECK,INV-I-68,SQL negative,不正reason-kind-status組合せを拒否する,DDL-IMPLEMENTED,SQL-2/Runtime-5,
I-69,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,structural quarantineは上流eventを直接triggerにせず、Canonical `integrity_finding`をtriggerにする,SQLite DDL + Canonical Writer,—,structural_quarantine CHECK,INV-I-69,SQL negative,event直接triggerのquarantineを拒否する,DDL-IMPLEMENTED,SQL-2/Runtime-5,
I-70,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,`erasure_policy`は`independent / resident_only`の二値で、content作成後に変更しない,SQLite DDL,—,erasure_policy CHECK + trigger,INV-I-70,SQL negative,policy変更/未知値を拒否する,VERIFIED,SQL-2,
I-71,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,`erasure_state`は`present → erased`の一方向で、`erased → present`を許可しない,SQLite DDL,Erasure Coordinator,erasure-only trigger,INV-I-71,SQL negative,erased→presentや不正updateを拒否する,VERIFIED,SQL-2/Runtime-7,
I-72,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,`resident_only` contentの単独Content Eraseを拒否する,Erasure Coordinator / Permission,SQLite value check,authorization + policy check,INV-I-72,permission negative,resident_only contentの単独eraseを拒否する,RUNTIME-SPEC,Runtime-7,
I-73,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,erasure policyとErasure Impact Analysisを分離し、branch済み別residentへ消去を自動伝播しない,Erasure Coordinator,—,Impact Analysis,INV-I-73,integration,policyとimpactを分け、別residentへ自動伝播しない,RUNTIME-SPEC,Runtime-7,
I-74,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,watermark rowなしをProjection未構築とし、sentinel source positionを使わない,Projection Coordinator,SQLite PK,watermark row existence,INV-I-74,projection unit,rowなしを未構築とし0/sentinel rowを作らない,RUNTIME-SPEC,Runtime-4,
I-75,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,watermark cursorには`source_commit_seq`を使い、event `seq`、ULID、timestamp、DB固有positionを使わない,Projection Coordinator,Schema,source_commit_seq,INV-I-75,unit/static,event seq/ULID/time/DB positionをcursorに使用しない,RUNTIME-SPEC,Runtime-4,
I-76,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,Projection本体更新とwatermark進行は同一Projection transactionでcommitする,Projection Coordinator,SQLite transaction,projection + watermark transaction,INV-I-76,crash/integration,本体だけ/水位だけの部分commitを残さない,RUNTIME-SPEC,Runtime-4,
I-77,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,status transitionが一件も存在しない新規claimは`active`としてProjectionし、`NULL → active` transitionを作らない,Projection evaluator,—,claim status replay,INV-I-77,projection golden,transitionなしclaimをactiveとして再生する,RUNTIME-SPEC,Runtime-4,
I-78,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,claim生成時には初期`claim_view_scope_assertion`を同一Canonical Unit of Workで必ず作る,Canonical Writer,—,CreateClaim UoW,INV-I-78,crash/integration,初期view scope assertion欠落のclaimを残さない,RUNTIME-SPEC,Runtime-5,
I-79,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,content erasure eventは消去scope・actor・reasonを持ち、派生消去では元erasure eventへ任意に遡れる,SQLite DDL + Erasure Coordinator,—,content_erasure_events required columns/FKs,INV-I-79,SQL negative + integration,scope/actor/reason欠落を拒否し派生元を追跡できる,DDL-IMPLEMENTED,SQL-2/Runtime-7,
I-80,mahoroba_datamodel_v0.2.14.md,13.9 trigger・erasure・commit / watermark,`projection_watermarks`は`[O]`としてProjection Store側に保存し、Canonicalから参照しない,Schema / Projection,CI FK audit,projection_watermarks [O],INV-I-80,schema audit,CanonicalからwatermarkへのFKが存在しない,SPECIFIED,SQL-2,
I-81,mahoroba_datamodel_v0.2.14.md,13.10 v0.2.8 / v0.2.9 review継承,automatic semantic correction / supersessionはclaim kindごとに許可されたprincipalのeventをevidenceが直接参照する場合だけ成立する,Canonical Writer,—,kind-specific semantic transition validator,INV-I-81,writer negative,許可principal eventへ直接到達しないautomatic遷移を拒否する,RUNTIME-SPEC,Runtime-5,
I-82,mahoroba_datamodel_v0.2.14.md,13.10 v0.2.8 / v0.2.9 review継承,Activity Session再構築に使うSessionization Policy definitionはCanonicalに保存し、過去versionを変更・削除しない,SQLite DDL,Canonical Writer,sessionization versions append-only triggers,INV-I-82,SQL negative,version definitionのUPDATE/DELETEを拒否する,DDL-IMPLEMENTED,SQL-2,
I-83,mahoroba_datamodel_v0.2.14.md,13.10 v0.2.8 / v0.2.9 review継承,`canonical_commit_id / commit_seq / canonical_commits.resident_id`をevent hash、content commitment、claim identityの入力へ含めない,Serialization / Golden tests,CI static audit,hash/identity input spec,INV-I-83,golden/static,commit metadataを含めてもhash/identityが変わらないことを検査,SPECIFIED,Runtime-1,
I-84,mahoroba_datamodel_v0.2.14.md,13.10 v0.2.8 / v0.2.9 review継承,`Score`をCanonicalJSONへ直接含めず、Canonical判定材料はfixed-point / integerへ量子化する,Canonical JSON validator,Canonical Writer,fixed-point validation,INV-I-84,unit/property,ScoreをCanonicalJSONへ入れず量子化値だけ許可する,SPECIFIED,Runtime-1/5,
I-85,mahoroba_datamodel_v0.2.14.md,13.10 v0.2.8 / v0.2.9 review継承,resident lifecycleは定義済み遷移行列に限定し、`archived → active`を禁止し、`erased`を終端とする,Canonical Writer,SQLite value CHECK,resident lifecycle matrix,INV-I-85,writer negative,未許可遷移/archived→active/erased復帰を拒否する,RUNTIME-SPEC,Runtime-2,
I-86,mahoroba_datamodel_v0.2.14.md,13.10 v0.2.8 / v0.2.9 review継承,初期4 event typeの`actor_principal_id`はNOT NULLとし、未定義ingress / trust mappingを持つeventをcommitしない,SQLite DDL + Canonical Writer,—,events.actor NOT NULL + event mapping CHECK,INV-I-86,SQL negative,actor NULL/未知ingress/trust mappingを拒否する,DDL-IMPLEMENTED,SQL-2,
I-87,mahoroba_datamodel_v0.2.14.md,13.10 v0.2.8 / v0.2.9 review継承,structural quarantineのtrigger findingは`claim_id NOT NULL`で、transition対象claimと一致する,Canonical Writer,SQLite FK,finding/transition validator,INV-I-87,writer negative,finding.claim_id NULL/別claim triggerを拒否する,RUNTIME-SPEC,Runtime-5/7,
I-88,mahoroba_datamodel_v0.2.14.md,13.10 v0.2.8 / v0.2.9 review継承,blob GCは`content_references`のwatermarkがCanonical Headへ到達し、projection versionが現行と一致する場合だけ実行できる,Erasure Coordinator,Projection Coordinator,GC precondition,INV-I-88,integration,stale/unbuilt/version不一致refsでGCを拒否する,RUNTIME-SPEC,Runtime-7,
I-89,mahoroba_datamodel_v0.2.14.md,13.10 v0.2.8 / v0.2.9 review継承,bootstrapおよびCanonical rowを投入するmigrationはCanonical Commitを発行する,Bootstrap / Migration runner,Canonical Writer,bootstrap data UoW,INV-I-89,integration,Canonical row投入がcommitなしで行われない,RUNTIME-SPEC,Runtime-2,
